repetition,method,MISE,Time,M,n,graphon
17,SAS,0.07395331893101273,0.00757288932800293,50,100,0
17,USVT,0.04405853519228249,0.004103422164916992,50,100,0
18,JGS,0.000652598567260646,0.03220796585083008,50,100,0
18,SIGL,0.0010933351351369942,36.64378786087036,50,100,0
18,SGWB,0.011832240934585335,0.4968392848968506,50,100,0
18,SBA,0.06505330459713236,0.059942007064819336,50,100,0
18,SAS,0.07319507274555913,0.007555723190307617,50,100,0
18,USVT,0.04306249398044093,0.0040738582611083984,50,100,0
19,JGS,0.0004914306602360935,0.03977060317993164,50,100,0
19,SIGL,0.0022254273121253237,32.771925926208496,50,100,0
19,SGWB,0.012008720180606332,0.5097239017486572,50,100,0
19,SBA,0.05146408117067635,0.10569930076599121,50,100,0
19,SAS,0.0733706189364648,0.027199506759643555,50,100,0
19,USVT,0.0433131817221755,0.0055942535400390625,50,100,0
20,JGS,0.0005673024029058813,0.04242682456970215,50,100,0
20,SIGL,0.0008384810568885082,27.682541370391846,50,100,0
20,SGWB,0.012488496874911935,0.5127325057983398,50,100,0
20,SBA,0.050419791615855095,0.08919835090637207,50,100,0
20,SAS,0.07450794158881797,0.024271011352539062,50,100,0
20,USVT,0.04415851306750624,0.008597612380981445,50,100,0
21,JGS,0.00030112609511359433,0.03461742401123047,50,100,0
21,SIGL,0.0009365799960448664,28.76141881942749,50,100,0
21,SGWB,0.01038576238563946,0.5253822803497314,50,100,0
21,SBA,0.05529013448598109,0.11615681648254395,50,100,0
21,SAS,0.0736788475725128,0.008199214935302734,50,100,0
21,USVT,0.043328497829706956,0.0039141178131103516,50,100,0
22,JGS,0.0005495250272351962,0.03246450424194336,50,100,0
22,SIGL,0.0008963585000550411,28.924526929855347,50,100,0
22,SGWB,0.012324965185089689,0.485943078994751,50,100,0
22,SBA,0.05663764372505992,0.0658731460571289,50,100,0
22,SAS,0.07458547948806885,0.007718801498413086,50,100,0
22,USVT,0.04500457122435124,0.004619121551513672,50,100,0
23,JGS,0.0006513395096109288,0.04160428047180176,50,100,0
23,SIGL,0.0023505803027675447,28.527732372283936,50,100,0
